COUNTRY,Country,Economic sector,Year,Value
AUS,Australia,Fishing Sector,2005,7441
AUS,Australia,Fishing Sector,2006,8235
AUS,Australia,Fishing Sector,2007,6151
AUS,Australia,Fishing Sector,2008,9239
AUS,Australia,Fishing Sector,2009,4469
AUS,Australia,Fishing Sector,2010,7801
AUS,Australia,Fishing Sector,2011,7403
AUS,Australia,Fishing Sector,2012,7057
AUS,Australia,Fishing Sector,2013,6008
AUS,Australia,Fishing Sector,2014,3561
AUS,Australia,Fishing Sector,2015,7183
AUS,Australia,Fishing Sector,2016,5602
AUS,Australia,Fishing Sector,2017,7593
AUS,Australia,Unspecified Fishing,2005,7441
AUS,Australia,Unspecified Fishing,2006,8235
AUS,Australia,Unspecified Fishing,2007,6151
AUS,Australia,Unspecified Fishing,2008,9239
AUS,Australia,Unspecified Fishing,2009,4469
AUS,Australia,Unspecified Fishing,2010,7801
AUS,Australia,Unspecified Fishing,2011,7403
AUS,Australia,Unspecified Fishing,2012,7057
AUS,Australia,Unspecified Fishing,2013,6008
AUS,Australia,Unspecified Fishing,2014,3561
AUS,Australia,Unspecified Fishing,2015,7183
AUS,Australia,Unspecified Fishing,2016,5602
AUS,Australia,Unspecified Fishing,2017,7593
AUS,Australia,Aquaculture,2005,5811
AUS,Australia,Aquaculture,2006,3800
AUS,Australia,Aquaculture,2007,3264
AUS,Australia,Aquaculture,2008,4132
AUS,Australia,Aquaculture,2009,4656
AUS,Australia,Aquaculture,2010,3751
AUS,Australia,Aquaculture,2011,4456
AUS,Australia,Aquaculture,2012,3736
AUS,Australia,Aquaculture,2013,3298
AUS,Australia,Aquaculture,2014,5102
AUS,Australia,Aquaculture,2015,7035
AUS,Australia,Aquaculture,2016,5364
AUS,Australia,Aquaculture,2017,8361
BEL,Belgium,Fishing Sector,2005,860
BEL,Belgium,Fishing Sector,2006,689
BEL,Belgium,Fishing Sector,2007,690
BEL,Belgium,Fishing Sector,2008,735
BEL,Belgium,Fishing Sector,2009,600
BEL,Belgium,Fishing Sector,2010,614
BEL,Belgium,Fishing Sector,2011,587
BEL,Belgium,Fishing Sector,2012,585
BEL,Belgium,Fishing Sector,2013,396
BEL,Belgium,Fishing Sector,2014,571
BEL,Belgium,Fishing Sector,2015,499
BEL,Belgium,Fishing Sector,2016,468
BEL,Belgium,Fishing Sector,2017,482
BEL,Belgium,Marine Coastal Fishing,2005,100
BEL,Belgium,Marine Coastal Fishing,2006,79
BEL,Belgium,Marine Coastal Fishing,2007,102
BEL,Belgium,Marine Coastal Fishing,2008,140
BEL,Belgium,Marine Coastal Fishing,2009,112
BEL,Belgium,Marine Coastal Fishing,2010,105
BEL,Belgium,Marine Coastal Fishing,2011,92
BEL,Belgium,Marine Coastal Fishing,2012,108
BEL,Belgium,Marine Coastal Fishing,2013,60
BEL,Belgium,Marine Coastal Fishing,2015,67
BEL,Belgium,Marine Coastal Fishing,2016,66
BEL,Belgium,Marine Coastal Fishing,2017,50
BEL,Belgium,Marine Deep-Sea Fishing,2005,471
BEL,Belgium,Marine Deep-Sea Fishing,2006,610
BEL,Belgium,Marine Deep-Sea Fishing,2007,588
BEL,Belgium,Marine Deep-Sea Fishing,2008,595
BEL,Belgium,Marine Deep-Sea Fishing,2009,488
BEL,Belgium,Marine Deep-Sea Fishing,2010,509
BEL,Belgium,Marine Deep-Sea Fishing,2011,495
BEL,Belgium,Marine Deep-Sea Fishing,2012,477
BEL,Belgium,Marine Deep-Sea Fishing,2013,336
BEL,Belgium,Marine Deep-Sea Fishing,2015,432
BEL,Belgium,Marine Deep-Sea Fishing,2016,402
BEL,Belgium,Marine Deep-Sea Fishing,2017,432
BEL,Belgium,Unspecified Fishing,2005,289
BEL,Belgium,Unspecified Fishing,2014,571
CAN,Canada,Fishing Sector,2005,47158
CAN,Canada,Fishing Sector,2006,51677
CAN,Canada,Fishing Sector,2007,53846
CAN,Canada,Fishing Sector,2008,52317
CAN,Canada,Fishing Sector,2009,51014
CAN,Canada,Fishing Sector,2010,49526
CAN,Canada,Fishing Sector,2011,49609
CAN,Canada,Fishing Sector,2012,43250
CAN,Canada,Fishing Sector,2013,45114
CAN,Canada,Fishing Sector,2014,43562
CAN,Canada,Fishing Sector,2015,42507
CAN,Canada,Fishing Sector,2016,44342
CAN,Canada,Unspecified Fishing,2005,47158
CAN,Canada,Unspecified Fishing,2006,51677
CAN,Canada,Unspecified Fishing,2007,53846
CAN,Canada,Unspecified Fishing,2008,52317
CAN,Canada,Unspecified Fishing,2009,51014
CAN,Canada,Unspecified Fishing,2010,49526
CAN,Canada,Unspecified Fishing,2011,49609
CAN,Canada,Unspecified Fishing,2012,43250
CAN,Canada,Unspecified Fishing,2013,45114
CAN,Canada,Unspecified Fishing,2014,43562
CAN,Canada,Unspecified Fishing,2015,42507
CAN,Canada,Unspecified Fishing,2016,44342
CAN,Canada,Aquaculture,2005,3920
CAN,Canada,Aquaculture,2006,4105
CAN,Canada,Aquaculture,2007,3550
CAN,Canada,Aquaculture,2008,3435
CAN,Canada,Aquaculture,2009,3584
CAN,Canada,Aquaculture,2010,3375
CAN,Canada,Aquaculture,2011,3292
CAN,Canada,Aquaculture,2012,3235
CAN,Canada,Aquaculture,2013,3175
CAN,Canada,Aquaculture,2014,3205
CAN,Canada,Aquaculture,2015,3316
CAN,Canada,Aquaculture,2016,3340
CAN,Canada,Processing,2005,29342
CAN,Canada,Processing,2006,29436
CAN,Canada,Processing,2007,30225
CAN,Canada,Processing,2008,27647
CAN,Canada,Processing,2009,27305
CAN,Canada,Processing,2010,29599
CAN,Canada,Processing,2011,31903
CAN,Canada,Processing,2012,33034
CAN,Canada,Processing,2013,33147
CAN,Canada,Processing,2014,31899
CAN,Canada,Processing,2015,27858
CAN,Canada,Processing,2016,28718
CZE,Czech Republic,Aquaculture,2005,1744
CZE,Czech Republic,Aquaculture,2006,1418
CZE,Czech Republic,Aquaculture,2007,1116
CZE,Czech Republic,Aquaculture,2008,1379
CZE,Czech Republic,Aquaculture,2009,1400
CZE,Czech Republic,Aquaculture,2010,1428
CZE,Czech Republic,Aquaculture,2011,1428
CZE,Czech Republic,Aquaculture,2012,1428
CZE,Czech Republic,Aquaculture,2013,1428
CZE,Czech Republic,Aquaculture,2014,1433
CZE,Czech Republic,Aquaculture,2015,1506
CZE,Czech Republic,Aquaculture,2016,1506
CZE,Czech Republic,Aquaculture,2017,1506
CZE,Czech Republic,Processing,2005,130
CZE,Czech Republic,Processing,2006,140
CZE,Czech Republic,Processing,2007,140
CZE,Czech Republic,Processing,2008,133
CZE,Czech Republic,Processing,2009,135
CZE,Czech Republic,Processing,2010,135
CZE,Czech Republic,Processing,2011,135
CZE,Czech Republic,Processing,2012,135
DNK,Denmark,Fishing Sector,2005,3241
DNK,Denmark,Fishing Sector,2006,2897
DNK,Denmark,Fishing Sector,2007,2573
DNK,Denmark,Fishing Sector,2008,2221
DNK,Denmark,Fishing Sector,2009,2060
DNK,Denmark,Fishing Sector,2010,2072
DNK,Denmark,Fishing Sector,2011,2017
DNK,Denmark,Fishing Sector,2012,1942
DNK,Denmark,Fishing Sector,2013,1891
DNK,Denmark,Fishing Sector,2014,1896
DNK,Denmark,Fishing Sector,2015,1822
DNK,Denmark,Marine Coastal Fishing,2005,3241
DNK,Denmark,Marine Coastal Fishing,2006,2897
DNK,Denmark,Marine Coastal Fishing,2007,2573
DNK,Denmark,Marine Coastal Fishing,2008,2221
DNK,Denmark,Marine Coastal Fishing,2009,2060
DNK,Denmark,Marine Coastal Fishing,2010,2072
DNK,Denmark,Marine Coastal Fishing,2011,2017
DNK,Denmark,Marine Coastal Fishing,2012,1942
DNK,Denmark,Marine Coastal Fishing,2013,1891
DNK,Denmark,Marine Coastal Fishing,2014,1896
DNK,Denmark,Unspecified Fishing,2015,1822
DNK,Denmark,Aquaculture,2005,571
DNK,Denmark,Aquaculture,2006,553
DNK,Denmark,Aquaculture,2007,547
DNK,Denmark,Aquaculture,2008,497
DNK,Denmark,Aquaculture,2009,443
DNK,Denmark,Aquaculture,2010,445
DNK,Denmark,Aquaculture,2011,430
DNK,Denmark,Aquaculture,2012,425
DNK,Denmark,Aquaculture,2013,421
DNK,Denmark,Aquaculture,2014,448
DNK,Denmark,Aquaculture,2015,437
DNK,Denmark,Processing,2005,5209
DNK,Denmark,Processing,2006,5148
DNK,Denmark,Processing,2007,4832
DNK,Denmark,Processing,2008,4281
DNK,Denmark,Processing,2009,4176
DNK,Denmark,Processing,2010,4224
DNK,Denmark,Processing,2011,3833
DNK,Denmark,Processing,2012,3733
DNK,Denmark,Processing,2013,3455
DNK,Denmark,Processing,2014,3683
DNK,Denmark,Processing,2015,3641
FIN,Finland,Fishing Sector,2005,2755
FIN,Finland,Fishing Sector,2006,2766
FIN,Finland,Fishing Sector,2007,2628
FIN,Finland,Fishing Sector,2008,2727
FIN,Finland,Fishing Sector,2009,2722
FIN,Finland,Fishing Sector,2010,2861
FIN,Finland,Fishing Sector,2011,2872
FIN,Finland,Fishing Sector,2012,2832
FIN,Finland,Fishing Sector,2013,2652
FIN,Finland,Inland Waters Fishing,2005,545
FIN,Finland,Inland Waters Fishing,2006,556
FIN,Finland,Inland Waters Fishing,2007,554
FIN,Finland,Inland Waters Fishing,2008,562
FIN,Finland,Inland Waters Fishing,2009,571
FIN,Finland,Inland Waters Fishing,2010,611
FIN,Finland,Inland Waters Fishing,2011,648
FIN,Finland,Inland Waters Fishing,2012,674
FIN,Finland,Inland Waters Fishing,2013,561
FIN,Finland,Marine Coastal Fishing,2005,2210
FIN,Finland,Marine Coastal Fishing,2006,2210
FIN,Finland,Marine Coastal Fishing,2007,2074
FIN,Finland,Marine Coastal Fishing,2008,2165
FIN,Finland,Marine Coastal Fishing,2009,2151
FIN,Finland,Marine Coastal Fishing,2010,2250
FIN,Finland,Marine Coastal Fishing,2011,2224
FIN,Finland,Marine Coastal Fishing,2012,2158
FIN,Finland,Marine Coastal Fishing,2013,2091
FIN,Finland,Aquaculture,2005,439
FIN,Finland,Aquaculture,2006,494
FIN,Finland,Aquaculture,2007,491
FIN,Finland,Aquaculture,2009,490
FIN,Finland,Aquaculture,2010,477
FIN,Finland,Aquaculture,2011,469
FIN,Finland,Processing,2005,865
FIN,Finland,Processing,2006,824
FIN,Finland,Processing,2007,936
FIN,Finland,Processing,2009,885
FIN,Finland,Processing,2010,870
FIN,Finland,Processing,2011,930
FRA,France,Fishing Sector,2005,25459
FRA,France,Fishing Sector,2006,16957
