Country,Code,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,
Australia,AUS,941248568,823138172,951222000,1115962855,1008738231,1010430898,1113558175,1078161214,1049641895,1082378888,1091776058,
Canada,CAN,3649171718,3183609405,3775342008,4119734854,4249449939,4359728424,4439588454,4670562145,4944525115,5089038317,5116475696,
Chile,CHL,4079098811,3746829262,3513774992,4626069348,4476054660,5182147557,6042972828,4983876058,5299322934,5941331021,6737276397,
Denmark,DNK,3685902894,3100092212,3218154060,3639342242,3409247093,3836185819,3920591252,3575924165,3858877289,3986074103,4030572522,
Estonia,EST,153551405,144553081,196750242,227511569,252046373,265587980,248913904,199703360,155456824,163534056,176952337,
Finland,FIN,49603403,50307317,46579827,51988129,58569807,60209807,54923813,40623000,63038864,166432305,212985723,
France,FRA,2028270080,1590845236,1606790369,1794564433,1762537268,1847452175,1746144473,1619506777,1705647264,1708644325,1812834034,
Iceland,ISL,2007250310,1738761860,1849676569,2217166093,2207814332,2304432730,2157185532,2070618036,2033262907,2003303976,2357273319,
Ireland,IRL,502293350,461141764,504471430,599003602,712643908,696127736,755338351,682026905,668395030,687837545,692775877,
Italy,ITA,798261321,705067513,700593753,790578342,666198020,740364801,790118531,722504389,742800636,754600894,786853183,
Japan,JPN,1683030970,1632483860,2014914668,1941881504,1897576614,2057046045,1950357476,1986419331,2113854423,2025242850,2293225660,
Korea,KOR,1394410864,1440881160,1710984988,2173131995,2190065546,1949531720,1846068959,1681149913,1869293032,1614395401,1599473101,
Mexico,MEX,833537140,807345346,777355138,1113932389,866780076,1095653898,1133647687,1058893877,1028752800,1354006035,1468072743,
Netherlands,NLD,2951934342,2710961245,2828794460,3610480279,3430616617,3528639048,3900773330,3404215339,3853601532,4068196973,4330042141,
New Zealand,NZL,971300797,897706954,1070956841,1528194739,1249675720,1214186220,1252789956,1118810689,1209213351,1051548254,1067716240,
Norway,NOR,6953185775,7089841156,8873369700,9477353375,8925848922,10383195074,10823545753,9206645269,10798033753,11245966830,11926335262,
Poland,POL,1167681266,1093969376,1329717361,1493347761,1447238084,1828240554,1905427550,1695348548,1891631212,2095188158,2540073171,
Portugal,PRT,898747139,725880572,911013357,1109304733,1007116623,1085458177,1192778218,996611550,1062620463,1069755600,1232024017,
Spain,ESP,3544099198,3159191099,3308040874,3987610166,3852024461,3905036339,4018583990,3724516648,4067859441,4225618304,4560898105,
Sweden,SWE,1902020244,2042038355,2660125827,2865043277,2875147652,3594804599,3888195958,3678127770,4438299218,4145136014,4834397534,
Switzerland,CHE,24169199,21630283,21389631,25211261,23515274,26740582,23109280,20826858,19488824,19969746,21343019,
Turkey,TUR,439702140,346243100,361149945,437195622,448107383,574303640,696134080,699629942,806756207,844969341,950153325,
United Kingdom,GBR,1953714152,1711926894,2124245832,2470084296,2161808067,2383457691,2709556514,2180322752,2354835533,2386623287,2300180627,
United States,USA,4247786335,3961806821,4518371457,5590495488,5489590992,5688432133,5850685097,5675829185,5589671438,5649980179,5505457366,
Argentina,ARG,1307185428,1131388707,1347239691,1483674031,1341723676,1518468766,1587199018,1468853120,1702998165,1978787121,2027711599,
Brazil,BRA,282761829,209919426,233274586,242543178,221348714,225880950,208604852,223361296,244231574,253174299,276226193,
China,CHN,10356948546,10487154909,13461614844,17330984223,18426504601,19705309173,21187570236,19920383377,20317716057,19903331845,..,
Colombia,COL,240425413,208989097,179729577,188332054,200801441,191664010,219078495,167151220,161478377,118025187,149429218,
Costa Rica,CRI,127862142,85871251,107218212,132371971,182505703,157151984,145881002,139071198,118207106,132369037,..,
Indonesia,IDN,2600970627,2349395993,2718021095,3360856172,3752143305,4025168794,4499953981,3788850755,4009224731,3914082128,4159961142,
Peru,PER,2438294084,2218399043,2549353040,3182397162,3351889074,2778336609,2921782122,2407233562,2195004127,2793945380,3235814711,
Thailand,THA,6503966266,6230134939,7143087672,8206780553,8142426464,7110307220,6659440543,5639413541,5811062547,..,5644526229,
