Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Australia,184753,195700,200595,215329,231830,236301,197041,188509,181670,172449,173553,165163,159302,157284,153504,152433,174247,166021
Canada,1003500,1053338,1073988,1120060,1176229,1096645,1090407,1012153,937112,960232,951529,858343,803441,838482,849597,837746,848165,0
Chile,4032000,4515000,3921000,5317000,4738000,4462000,4133000,3687282,3939377,3821714,3048322,3466963,3008910,2288872,2592811,2098360,0,0
Denmark,1534006,1510805,1442358,1036107,1089859,910621,868057,653339,694861,778917,827981,716358,502658,669601,745016,861846,662284,897079
France,371268,366125,374783,334551,321291,294994,325910,310958,285861,214213,254876,367668,365171,374288,342659,291305,401496,381781
Germany,194060,179099,182111,246527,223134,246529,258539,261791,242732,211148,210436,206676,182261,204855,207606,170146,250596,256317
Iceland,1929571,1942184,2132245,1979388,1709102,1411447,1323384,1406076,1308007,1162094,1093034,0,1336196,1356944,1078356,1313213,1078568,1158376
Ireland,290943,305127,280898,259102,306028,302061,274527,214818,201932,282106,318055,206071,225424,242635,275696,234028,241846,245479
Italy,386814,338518,303929,312169,288284,282009,299533,285741,237455,250793,226509,214415,197727,172624,176778,195674,192356,191916
Japan,5021518,4752807,4436479,4721975,4455077,4456890,4469529,4396822,4373337,4147377,4122104,3824096,3746760,3715471,3713241,3492429,3263616,3257700
Korea,1175977,1237166,1085385,1091372,1067627,1081829,1095061,1134110,1271025,1216123,1119498,1220702,1080908,1036131,1054858,1056575,903665,963522
Mexico,1193798,1262553,1295489,1303011,1264981,1169839,1213680,1291863,1397638,1414226,1318828,1340382,1348582,1456107,1419794,1367753,1400409,1454298
Netherlands,0,0,0,0,0,0,0,0,415987,355788,386750,351757,343712,345085,382352,330464,366795,442445
New Zealand,0,94205,564058,532787,517811,509462,458100,468770,437064,430745,427421,427666,434657,434190,432682,435553,418618,418804
Norway,2731607,2707932,2760947,2542114,2505931,2381621,2232080,2325402,2375138,2483120,2549381,2149952,2009564,1931100,2124840,2160172,1905277,2239065
Poland,200139,207360,204402,160261,122672,122535,102885,106343,92546,129851,108395,109172,118532,132307,116825,132856,137462,135734
Portugal,169554,167369,173225,183863,185217,177108,177299,189943,201822,174716,217337,233988,208705,207109,173238,183336,187590,175325
Spain,983808,962825,918245,876471,700715,703266,777558,836786,891294,703945,755465,712677,732944,868278,1079019,838977,799599,851353
Sweden,340473,314856,293515,283933,261208,240580,250991,227871,222776,200837,205310,177999,150383,178237,172346,202880,198002,221769
Turkey,460521,484410,522744,463074,504897,380381,488966,589129,453113,425046,445680,477658,396322,339047,266078,397731,301582,322173
United Kingdom,747165,739500,687551,640928,655054,715898,619230,613323,587465,584207,608846,602780,634882,628302,758950,708998,699975,722709
United States,4889132,5109948,5100464,5116561,5176674,5054668,5043553,4952508,4514685,4371391,4458400,5287431,5150644,5227720,5119701,5203558,5089398,4946267
