LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,FISHSUPP,TOT,USD,A,2009,71944423.94,
AUS,FISHSUPP,TOT,USD,A,2010,68880746.1,
AUS,FISHSUPP,TOT,USD,A,2011,81211765.45,
AUS,FISHSUPP,TOT,USD,A,2012,92427029.57,
AUS,FISHSUPP,TOT,USD,A,2013,119479274,
AUS,FISHSUPP,TOT,USD,A,2014,105963511.8,
AUS,FISHSUPP,TOT,USD,A,2015,108005198.3,
AUS,FISHSUPP,TOT,USD,A,2016,78929971.92,
AUS,FISHSUPP,TOT,USD,A,2017,109265820.7,
BEL,FISHSUPP,TOT,USD,A,2009,16132197.4,
BEL,FISHSUPP,TOT,USD,A,2010,16268611.07,
BEL,FISHSUPP,TOT,USD,A,2011,5420657.005,
BEL,FISHSUPP,TOT,USD,A,2012,11695504.39,
BEL,FISHSUPP,TOT,USD,A,2013,6873511.782,
BEL,FISHSUPP,TOT,USD,A,2014,7517296.854,
BEL,FISHSUPP,TOT,USD,A,2015,4274555.409,
BEL,FISHSUPP,TOT,USD,A,2016,5509126.441,
BEL,FISHSUPP,TOT,USD,A,2017,10426417.68,
BEL,FISHSUPP,TOT,USD,A,2018,13014370.37,
CAN,FISHSUPP,TOT,USD,A,2008,746548522.8,
CAN,FISHSUPP,TOT,USD,A,2009,769804828.1,
CAN,FISHSUPP,TOT,USD,A,2010,844192251,
CAN,FISHSUPP,TOT,USD,A,2011,846126782.4,
CAN,FISHSUPP,TOT,USD,A,2012,733176942.6,
CAN,FISHSUPP,TOT,USD,A,2013,680117708.5,
CAN,FISHSUPP,TOT,USD,A,2014,630587764.2,
CAN,FISHSUPP,TOT,USD,A,2015,646658497.2,
CAN,FISHSUPP,TOT,USD,A,2016,671090064.3,
CAN,FISHSUPP,TOT,USD,A,2017,675526486.3,
DNK,FISHSUPP,TOT,USD,A,2007,47329909.02,
DNK,FISHSUPP,TOT,USD,A,2008,108879358.2,
DNK,FISHSUPP,TOT,USD,A,2009,91434328.07,
DNK,FISHSUPP,TOT,USD,A,2010,94648058.1,
DNK,FISHSUPP,TOT,USD,A,2011,108677618.7,
DNK,FISHSUPP,TOT,USD,A,2012,94900377.55,
DNK,FISHSUPP,TOT,USD,A,2013,125238333,
DNK,FISHSUPP,TOT,USD,A,2014,132992679.4,
DNK,FISHSUPP,TOT,USD,A,2015,101875871.3,
DNK,FISHSUPP,TOT,USD,A,2016,105083217.9,
DNK,FISHSUPP,TOT,USD,A,2017,110679815.9,
FRA,FISHSUPP,TOT,USD,A,2008,49677208.45,
FRA,FISHSUPP,TOT,USD,A,2009,90873984.64,
FRA,FISHSUPP,TOT,USD,A,2010,136898565.5,
FRA,FISHSUPP,TOT,USD,A,2011,46533425.63,
FRA,FISHSUPP,TOT,USD,A,2012,66633554.96,
FRA,FISHSUPP,TOT,USD,A,2013,85108616.19,
FRA,FISHSUPP,TOT,USD,A,2016,8366778.238,
FRA,FISHSUPP,TOT,USD,A,2017,55885480.87,
DEU,FISHSUPP,TOT,USD,A,2014,36622116.17,
DEU,FISHSUPP,TOT,USD,A,2015,47912635.68,
DEU,FISHSUPP,TOT,USD,A,2016,11528328.18,
DEU,FISHSUPP,TOT,USD,A,2017,15490337.78,
GRC,FISHSUPP,TOT,USD,A,2006,53443033.17,
GRC,FISHSUPP,TOT,USD,A,2007,74159753.21,
GRC,FISHSUPP,TOT,USD,A,2008,73725162.28,
GRC,FISHSUPP,TOT,USD,A,2009,42181018.53,
GRC,FISHSUPP,TOT,USD,A,2010,3719329.988,
GRC,FISHSUPP,TOT,USD,A,2011,34941888.48,
GRC,FISHSUPP,TOT,USD,A,2012,43175219.62,
GRC,FISHSUPP,TOT,USD,A,2013,22581931.34,
GRC,FISHSUPP,TOT,USD,A,2014,11985994.75,
GRC,FISHSUPP,TOT,USD,A,2015,37022338.61,
GRC,FISHSUPP,TOT,USD,A,2017,434265.454,
ISL,FISHSUPP,TOT,USD,A,2000,36432468.94,
ISL,FISHSUPP,TOT,USD,A,2001,33536122.02,
ISL,FISHSUPP,TOT,USD,A,2002,34751695.58,
ISL,FISHSUPP,TOT,USD,A,2003,45486396.09,
ISL,FISHSUPP,TOT,USD,A,2004,36241235.61,
ISL,FISHSUPP,TOT,USD,A,2005,43626831.82,
ISL,FISHSUPP,TOT,USD,A,2006,51551406.16,
ISL,FISHSUPP,TOT,USD,A,2007,65192855.02,
ISL,FISHSUPP,TOT,USD,A,2008,50733417.4,
