Country,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,,
Australia,1189591993,1144575831,1333782484,1448623306,1593435140,1668307510,1769486473,1463013367,1505565707,1551367911,1587361535,,
Austria,449485004,430624667,431992674,503243232,485044887,563707202,579034103,504090920,561032122,574564847,613643593,,
Canada,2064507065,2025166107,2275599709,2666911964,2712341187,2833715331,3000420919,2722456257,2818129506,2791919038,2860923491,,
Chile,291727027,136948419,278684929,395677711,402474885,438725993,461687782,454454813,347846853,397208607,430577603,,
Denmark,2423941757,1987727769,2224511545,2539507307,2495612975,2734941959,2926428532,2627446572,2901930385,2899091047,2974301774,,
Estonia,143332753,99453543,119212574,153651154,171963885,216865543,202944179,165773874,129808532,142475799,148693405,,
Finland,341908244,342566727,392681434,459589736,442987675,527491226,515903691,407656588,433433869,570428801,611553718,,
France,5865084414,5564942004,5937584606,6689337200,6092819874,6590686584,6592606633,5815905831,6241988849,6403757907,6719325578,,
Iceland,130480262,78264428,111420001,137037256,113760509,120722137,134334206,198328997,133798631,119942140,146915187,,
Ireland,258928563,223559242,233878621,268907602,279426542,295040157,333533507,313291702,314574780,335087938,356284651,,
Italy,5580245354,5103633250,5390505038,6259630899,5501459746,5741116079,6099423139,5552412905,6168781400,6129350674,6487928290,,
Japan,14706781392,13529697932,15219005608,17750902604,18363515278,15640243638,15202607240,13742343937,14214338467,14532241024,14898648301,,
Korea,2950746305,2712305973,3226845925,3959643002,3759910193,3674716481,4309988390,4383881943,4634992361,4391324942,5019651883,,
Mexico,598645232,393247428,539850896,641672666,458366226,803269149,955640254,807097936,837860926,939381301,926988357,,
Netherlands,2393720482,2309827854,2434619507,3223774109,2973740248,2984759168,3240737343,2563321172,2875249842,3092237206,3204201314,,
New Zealand,128606454,108153354,127405231,197086301,159130120,153081070,186059402,176323166,166994401,172343680,195570428,,
Norway,1228568762,1192300226,1124195204,1363938891,1384052585,1303034419,1385113243,1259656881,1270841128,1210676225,1297606356,,
Poland,1275742424,1207510746,1503361365,1601944403,1536033389,1993861115,2082455109,1820823563,2133875418,2183540037,2567172978,,
Portugal,2040905859,1759736308,1831998845,2087882804,1867437856,1908852915,2075932597,1941390634,2125598349,2183328217,2464612275,,
Spain,7311483335,5994914951,6545464406,7268342546,6327210505,6435447757,6971278517,6475567696,7163505685,7324217749,7746724693,,
Sweden,2743903936,2616123103,3273176419,3630888023,3608840887,4479826577,4771240449,4412366490,5193906682,4905144749,5585603655,,
Switzerland,654070004,629924176,669694760,772122016,736087612,829695620,860646520,775021268,816668556,824590509,855890154,,
Turkey,205007448,191637716,248470744,279704795,321420800,380630646,384949789,438522836,399695353,453772537,458729100,,
United Kingdom,4418489708,2689392227,3809317278,4484716245,4219838446,4510925070,4724448907,4290268463,4377560117,4257696730,4409301436,,
United States,15106824876,13994019614,15642975601,17635235413,16901924374,18212226336,21511508694,20046161235,20746898268,22481478983,23476779686,,
Argentina,101970913,98985772,126133223,160454537,177100599,194464431,158294117,174726946,184411169,218808163,215539633,,
Brazil,695208699,727817620,1017480122,1271980017,1254886209,1480986927,1571965815,1222332550,1193857866,1393310629,1350669533,,
China (People's Republic of),5246308235,5099205869,6341750016,7797216780,7667185978,8348130283,8832704545,8677498977,9080951241,9757755178,..,,
Colombia,242099744,229801962,258535264,312388235,368881980,465697936,518093554,438374141,424793882,399984350,474557612,,
Costa Rica,61202396,42920979,50190205,73557654,320891696,232036107,220636441,150564681,159970071,197730882,..,,
Indonesia,198235243,228433768,320645403,404007694,344866657,369299549,344452012,311563506,358445456,380387882,402162168,,
Peru,73703832,79804612,163169590,148203548,146864962,221363608,186980340,254679352,254648721,292717648,306524152,,
Thailand,2409398060,1959399510,2144512941,2763278063,3150801104,3216153720,2816632625,2592901552,3154857724,..,3825844218,,
