Country,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Argentina,0,0,0,0,0,0,0,0,0,0
Australia,0,71944424,68880746,81211765,92427030,119479274,105963512,108005198,78929972,109265821
Canada,746548523,769804828,844192251,846126782,733176943,680117709,630587764,646658497,671090064,675526486
Chile,0,0,9435831,9798708,15903825,24714828,16579219,20154900,20117790,17410102
China,1624418551,2667637898,3909640593,6974055052,6420481226,5065288328,4407578588,3833977974,0
Denmark,108879358,91434328,94648058,108677619,94900378,125238333,132992679,101875871,105083218,110679816
France,49677208,90873985,136898565,46533426,66633555,85108616,0,0,8366778,55885481
Iceland,50733417,31041398,21044507,11297363,-38825024,-40059474,-29646635,8558252,-43713669,-17016397
Italy,51420342,74904790,91359076,153584965,154554964,75096957,85831365,121639711,84717155,56242944
Japan,0,0,0,0,0,0,1393716945,1196601137,1271476719,1223639649
Korea,403582888,135381335,122829462,85717328,75943116,62953136,56469484,52811376,64384527,90849833
Mexico,107950737,68348923,96343539,105519367,85687632,86990722,70089734,63709927,0,0
Netherlands,180723411,133336766,130212355,122524679,108034155,118193973,124665864,95406613,107706457,88439491
New Zealand,22070540,19585504,22428437,19825556,43854066,30865473,58338837,47483044,35769788,37358961
Norway,287042314,275463650,285545810,310851585,273765876,306415071,262186678,252689678,193662553,214533338
Portugal,0,15787726,13826202,3485550,1620906,2092360,13032939,3151032,14775324,27406482
Sweden,94106253,111324936,128883215,115356223,95281446,122096316,108541849,96041943,86636347,90702942
Turkey,0,0,0,0,198342365,250261769,169946860,161395598,174805761,149289151
UK,57836007,12186106,22367130,30083057,20879739,25183113,29255170,36041237,12132975,10082060
USA,869959059,708799819,857208722,811440703,757784799,753846125,857553500,774020597,808008679,803372987
Indonesia,0,0,0,0,0,0,232647796,245630107,0,0
Peru,0,0,0,0,63878062,69060700,82093394,90012203,0,0
Chinese Taipei,41272678,37429266,25039496,24147672,25105398,26144641,22986119,22138918,24803152,25086883
Spain,112416191.6,255331651.5,217573076.7,151348435.2,149220588.1,121275652.1,99007708.67,135038302.5,8821332.729,4292844.734
Thailand,0,0,0,0,0,0,0,0,0,0
