COUNTRY,Country,Year,Value
IDN,Indonesia,2005,753981
IDN,Indonesia,2006,783625
IDN,Indonesia,2007,788848
IDN,Indonesia,2008,788188
IDN,Indonesia,2009,773078
IDN,Indonesia,2010,739932
IDN,Indonesia,2011,767187
IDN,Indonesia,2012,808775
IDN,Indonesia,2013,829512
IDN,Indonesia,2014,815544
IDN,Indonesia,2015,768123
JPN,Japan,2016,244569
JPN,Japan,2017,237503
JPN,Japan,2005,325450
JPN,Japan,2006,321017
JPN,Japan,2007,313397
JPN,Japan,2008,306581
JPN,Japan,2009,298858
JPN,Japan,2010,292822
JPN,Japan,2011,268679
JPN,Japan,2012,269736
JPN,Japan,2013,262742
JPN,Japan,2014,257045
JPN,Japan,2015,250817
MEX,Mexico,2016,75997
MEX,Mexico,2017,76306
MEX,Mexico,2005,106301
MEX,Mexico,2006,106240
MEX,Mexico,2007,106205
MEX,Mexico,2008,106205
MEX,Mexico,2009,106107
MEX,Mexico,2010,94111
MEX,Mexico,2011,82069
KOR,Korea,2012,75031
MEX,Mexico,2013,76096
MEX,Mexico,2014,75741
MEX,Mexico,2015,76285
KOR,Korea,2016,66970
KOR,Korea,2005,90735
KOR,Korea,2006,86113
KOR,Korea,2007,85627
KOR,Korea,2008,80766
KOR,Korea,2009,77713
KOR,Korea,2010,76974
KOR,Korea,2011,75629
MEX,Mexico,2012,71654
KOR,Korea,2013,71287
KOR,Korea,2014,68417
KOR,Korea,2015,67226
TWN,Chinese Taipei,2016,22567
KOR,Korea,2017,66736
USA,United States,2005,36150
TWN,Chinese Taipei,2006,26216
TWN,Chinese Taipei,2007,25622
TWN,Chinese Taipei,2008,24889
USA,United States,2009,25000
USA,United States,2010,26000
USA,United States,2011,26500
USA,United States,2012,27000
TWN,Chinese Taipei,2013,23012
THA,Thailand,2014,23556
CAN,Canada,2005,21819
CAN,Canada,2006,21461
CAN,Canada,2007,21183
CAN,Canada,2008,20507
TWN,Chinese Taipei,2009,24127
TWN,Chinese Taipei,2010,23782
TWN,Chinese Taipei,2011,23557
TWN,Chinese Taipei,2012,23441
CAN,Canada,2013,18452
TWN,Chinese Taipei,2014,22771
THA,Thailand,2015,25231
CAN,Canada,2016,17703
TWN,Chinese Taipei,2017,22433
TUR,Turkey,2005,18836
TUR,Turkey,2006,18790
TUR,Turkey,2007,18563
TUR,Turkey,2008,17732
CAN,Canada,2009,20197
CAN,Canada,2010,19906
CAN,Canada,2011,19520
CAN,Canada,2012,18740
THA,Thailand,2013,16548
CAN,Canada,2014,18136
TWN,Chinese Taipei,2015,22695
TUR,Turkey,2016,15663
TUR,Turkey,2017,15406
GRC,Greece,2005,18451
GRC,Greece,2006,18156
GRC,Greece,2007,17850
GRC,Greece,2008,17667
GRC,Greece,2009,17513
TUR,Turkey,2010,17440
THA,Thailand,2011,17203
THA,Thailand,2012,18089
TUR,Turkey,2013,16437
GRC,Greece,2014,15883
CAN,Canada,2015,17796
GRC,Greece,2016,15188
GRC,Greece,2017,14977
CHL,Chile,2005,14403
CHL,Chile,2006,14878
CHL,Chile,2007,15238
CHL,Chile,2008,15497
TUR,Turkey,2009,17469
GRC,Greece,2010,17378
TUR,Turkey,2011,17165
TUR,Turkey,2012,16998
GRC,Greece,2013,15860
TUR,Turkey,2014,15877
TUR,Turkey,2015,15680
ITA,Italy,2016,12311
ITA,Italy,2017,12270
ITA,Italy,2005,14304
ITA,Italy,2006,13955
ITA,Italy,2007,13604
ITA,Italy,2008,13374
THA,Thailand,2009,16891
CHL,Chile,2010,16095
GRC,Greece,2011,16863
GRC,Greece,2012,16249
ITA,Italy,2013,12691
ITA,Italy,2014,12675
GRC,Greece,2015,15355
CHL,Chile,2016,9540
ESP,Spain,2017,9146
ESP,Spain,2005,13695
ESP,Spain,2006,13398
THA,Thailand,2007,13056
THA,Thailand,2008,12920
CHL,Chile,2009,15547
THA,Thailand,2010,15381
ITA,Italy,2011,13078
ITA,Italy,2012,12766
ESP,Spain,2013,9872
ESP,Spain,2014,9635
ITA,Italy,2015,12426
ESP,Spain,2016,9299
PRT,Portugal,2017,7922
THA,Thailand,2005,13627
THA,Thailand,2006,12552
ESP,Spain,2007,13006
ESP,Spain,2008,11394
ITA,Italy,2009,13609
ITA,Italy,2010,13239
CHL,Chile,2011,12948
ESP,Spain,2012,10116
CHL,Chile,2013,8644
PRT,Portugal,2014,8177
ESP,Spain,2015,9409
PRT,Portugal,2016,7980
FRA,France,2017,6523
PRT,Portugal,2005,9955
PRT,Portugal,2006,8754
PRT,Portugal,2007,8637
PRT,Portugal,2008,8585
ESP,Spain,2009,11116
ESP,Spain,2010,10847
ESP,Spain,2011,10505
CHL,Chile,2012,9603
PRT,Portugal,2013,8232
CHL,Chile,2014,7154
CHL,Chile,2015,9391
FRA,France,2016,6833
GBR,United Kingdom,2017,6194
FRA,France,2005,7906
FRA,France,2006,7714
FRA,France,2007,7600
FRA,France,2008,7377
PRT,Portugal,2009,8562
PRT,Portugal,2010,8492
PRT,Portugal,2011,8380
PRT,Portugal,2012,8276
FRA,France,2013,7125
FRA,France,2014,7068
PRT,Portugal,2015,8054
GBR,United Kingdom,2016,6195
NOR,Norway,2017,6134
NOR,Norway,2005,7722
NOR,Norway,2006,7300
NOR,Norway,2007,7038
NOR,Norway,2008,6785
FRA,France,2009,7274
FRA,France,2010,7219
GBR,United Kingdom,2011,7885
FRA,France,2012,7139
GBR,United Kingdom,2013,6481
GBR,United Kingdom,2014,6281
FRA,France,2015,6911
NOR,Norway,2016,5947
CRI,Costa Rica,2017,2644
GBR,United Kingdom,2005,6738
GBR,United Kingdom,2006,6768
GBR,United Kingdom,2007,6775
GBR,United Kingdom,2008,6577
NOR,Norway,2009,6506
GBR,United Kingdom,2010,6477
FRA,France,2011,7208
GBR,United Kingdom,2012,6505
NOR,Norway,2013,6126
NOR,Norway,2014,5939
GBR,United Kingdom,2015,6252
DNK,Denmark,2016,2263
DNK,Denmark,2017,2203
CRI,Costa Rica,2005,4051
CRI,Costa Rica,2006,4408
CRI,Costa Rica,2007,4426
CRI,Costa Rica,2008,4618
GBR,United Kingdom,2009,6505
NOR,Norway,2010,6310
NOR,Norway,2011,6250
NOR,Norway,2012,6211
FIN,Finland,2013,3219
FIN,Finland,2014,3210
NOR,Norway,2015,5884
IRL,Ireland,2016,2092
IRL,Ireland,2017,1994
DNK,Denmark,2005,3344
FIN,Finland,2006,3196
FIN,Finland,2007,3164
FIN,Finland,2008,3242
CRI,Costa Rica,2009,4736
CRI,Costa Rica,2010,5035
CRI,Costa Rica,2011,3771
FIN,Finland,2012,3249
DNK,Denmark,2013,2632
RUS,Russia,2014,2542
DNK,Denmark,2015,2354
CRI,Costa Rica,2016,1574
EST,Estonia,2017,1429
FIN,Finland,2005,3265
DNK,Denmark,2006,3135
DNK,Denmark,2007,2957
DNK,Denmark,2008,2890
FIN,Finland,2009,3271
FIN,Finland,2010,3366
FIN,Finland,2011,3336
DNK,Denmark,2012,2740
IRL,Ireland,2013,2155
DNK,Denmark,2014,2455
IRL,Ireland,2015,2112
EST,Estonia,2016,1538
DEU,Germany,2017,1389
DEU,Germany,2005,2252
DEU,Germany,2006,2135
DEU,Germany,2007,1955
IRL,Ireland,2008,2016
DNK,Denmark,2009,2830
DNK,Denmark,2010,2818
DNK,Denmark,2011,2784
IRL,Ireland,2012,2227
CRI,Costa Rica,2013,1552
IRL,Ireland,2014,2122
CRI,Costa Rica,2015,1912
DEU,Germany,2016,1415
ISL,Iceland,2017,1273
EST,Estonia,2015,1515
ISL,Iceland,2016,1276
SWE,Sweden,2017,1223
NZL,New Zealand,2017,1221
EST,Estonia,2018,1597
