UN_Code,Identifier,ISO2_Code,ISO3_Code,Name_En,Name_Fr,Name_Es,Name_Ar,Name_Cn,Name_Ru,Official_Name_En,Official_Name_Fr,Official_Name_Es,Official_Name_Ar,Official_Name_Cn,Official_Name_Ru,Continent_Group,EcoClass_Group,GeoRegion_Group
32,9,AR,ARG,Argentina,Argentine,Argentina,الأرجنتين,阿根廷,Аргентинская Республика,the Argentine Republic,la République argentine,la República Argentina,الأرجنتين,阿根廷,Аргентинская Республика,Americas,Other developing countries or areas,South America
36,10,AU,AUS,Australia,Australie,Australia,أستراليا,澳大利亚,Австралия,Australia,l'Australie,Australia,أستراليا,澳大利亚,Австралия,Oceania,Developed countries or areas,Australia and New Zealand
124,33,CA,CAN,Canada,Canada,Canadá,كندا,加拿大,Канада,Canada,le Canada,el Canadá,كندا,加拿大,Канада,Americas,Developed countries or areas,Northern America
152,40,CL,CHL,Chile,Chili,Chile,جمهورية شيلى,智利共和国,Республика Чили,the Republic of Chile,la République du Chili,la República de Chile,جمهورية شيلى,智利共和国,Республика Чили,Americas,Other developing countries or areas,South America
156,41,CN,CHN,China,Chine,China,الصين,中华人民共和国,Китай,the People's Republic of China,la République populaire de Chine,la República Popular China,الصين,中华人民共和国,Китай,Asia,Other developing countries or areas,Eastern Asia
158,214,TW,TWN,Chinese Taipei,Prov. chinoise de Taïwan,Prov. china de Taiwán,,,,Taiwan Province of China,Province chinoise de Taïwan,Provincia china de Taiwán,,,,Asia,Other developing countries or areas,Eastern Asia
208,54,DK,DNK,Denmark,Danemark,Dinamarca,مملكة الدانمرك,丹麦王国,Дания,the Kingdom of Denmark,le Royaume du Danemark,el Reino de Dinamarca,مملكة الدانمرك,丹麦王国,Дания,Europe,Developed countries or areas,Northern Europe
250,68,FR,FRA,France,France,Francia,فرنسا,法  国,Франция,the French Republic,la République française,la República Francesa,فرنسا,法  国,Франция,Europe,Developed countries or areas,Western Europe
352,99,IS,ISL,Iceland,Islande,Islandia,جمهورية آيسلندا,冰 岛,Исландия,the Republic of Iceland,la République d'Islande,la República de Islandia,جمهورية آيسلندا,冰 岛,Исландия,Europe,Developed countries or areas,Northern Europe
360,101,ID,IDN,Indonesia,Indonésie,Indonesia,إندونيسيا,印度尼西亚,Индонезия,the Republic of Indonesia,la République d'Indonésie,la República de Indonesia,إندونيسيا,印度尼西亚,Индонезия,Asia,Other developing countries or areas,South-Eastern Asia
380,106,IT,ITA,Italy,Italie,Italia,إيطاليا,意大利,Италия,the Republic of Italy,la République italienne,la República Italiana,إيطاليا,意大利,Италия,Europe,Developed countries or areas,Southern Europe
392,110,JP,JPN,Japan,Japon,Japón,اليابان,日 本,Япония,Japan,le Japon,el Japón,اليابان,日 本,Япония,Asia,Developed countries or areas,Eastern Asia
410,117,KR,KOR,Korea,République de Corée,República de Corea,جمهورية كوريا,大韩民国,Республика Корея,the Republic of Korea,la République de Corée,la República de Corea,جمهورية كوريا,大韩民国,Республика Корея,Asia,Other developing countries or areas,Eastern Asia
484,138,MX,MEX,Mexico,Mexique,México,المكسيك,墨西哥,Мексика,the United Mexican States,les États-Unis du Mexique,los Estados Unidos Mexicanos,المكسيك,墨西哥,Мексика,Americas,Other developing countries or areas,Central America
528,150,NL,NLD,Netherlands,Pays-Bas,Países Bajos,هولندا,荷兰王国,Нидерланды,the Kingdom of the Netherlands,le Royaume des Pays-Bas,el Reino de los Países Bajos,هولندا,荷兰王国,Нидерланды,Europe,Developed countries or areas,Western Europe
554,156,NZ,NZL,New Zealand,Nouvelle-Zélande,Nueva Zelandia,نيوزيلندا,新西兰,Новая Зеландия,New Zealand,la Nouvelle-Zélande,Nueva Zelandia,نيوزيلندا,新西兰,Новая Зеландия,Oceania,Developed countries or areas,Australia and New Zealand
578,162,NO,NOR,Norway,Norvège,Noruega,النرويج,挪 威,Норвегия,the Kingdom of Norway,le Royaume de Norvège,el Reino de Noruega,النرويج,挪 威,Норвегия,Europe,Developed countries or areas,Northern Europe
604,170,PE,PER,Peru,Pérou,Perú,بيرو,秘鲁共和国,Перу,the Republic of Peru,la République du Pérou,la República del Perú,بيرو,秘鲁共和国,Перу,Americas,Other developing countries or areas,South America
620,174,PT,PRT,Portugal,Portugal,Portugal,البرتغال,葡萄牙,Португальская Республика,the Portuguese Republic,la République portugaise,la República Portuguesa,البرتغال,葡萄牙,Португальская Республика,Europe,Developed countries or areas,Southern Europe
724,203,ES,ESP,Spain,Espagne,España,مملكة إسبانيا,西班牙,Королевство Испания,the Kingdom of Spain,le Royaume d'Espagne,el Reino de España,مملكة إسبانيا,西班牙,Королевство Испания,Europe,Developed countries or areas,Southern Europe
752,210,SE,SWE,Sweden,Suède,Suecia,السويد,瑞 典,Королевство Швеция,the Kingdom of Sweden,le Royaume de Suède,el Reino de Suecia,السويد,瑞 典,Королевство Швеция,Europe,Developed countries or areas,Northern Europe
764,216,TH,THA,Thailand,Thaïlande,Tailandia,مملكة تايلند,泰 国,Королевство Таиланд,the Kingdom of Thailand,le Royaume de Thaïlande,el Reino de Tailandia,مملكة تايلند,泰 国,Королевство Таиланд,Asia,Other developing countries or areas,South-Eastern Asia
792,223,TR,TUR,Turkey,Turquie,Turquía,الجمهورية التركية,土耳其,Турция,the Republic of Turkey,la République turque,la República de Turquía,الجمهورية التركية,土耳其,Турция,Asia,Other developing countries or areas,Western Asia
826,229,GB,GBR,United Kingdom,Royaume-Uni,Reino Unido,المملكة المتحدة,大不列颠及北爱尔兰联合王国,Соединенное Королевство (Великобритании и Северной Ирландии),the United Kingdom of Great Britain and Northern Ireland,le Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,el Reino Unido de Gran Bretaña e Irlanda del Norte,المملكة المتحدة,大不列颠及北爱尔兰联合王国,Соединенное Королевство (Великобритании и Северной Ирландии),Europe,Developed countries or areas,Northern Europe
840,231,US,USA,United States of America,États-Unis d'Amérique,EstadosUnidos de América,الولايات المتحدة الأمريكية,美利坚合众国,Соединенные Штаты Америки,the United States of America,les États-Unis d'Amérique,los Estados Unidos de América,الولايات المتحدة الأمريكية,美利坚合众国,Соединенные Штаты Америки,Americas,Developed countries or areas,Northern America
