Species_Code,Species,Country,Country_Code,YEAR,Sum of Value
1,Freshwater fishes,Australia,AUS,2001,1151.926
1,Freshwater fishes,Australia,AUS,2002,1371.09
1,Freshwater fishes,Australia,AUS,2003,1520.46
1,Freshwater fishes,Australia,AUS,2004,1523.91
1,Freshwater fishes,Australia,AUS,2005,1496
1,Freshwater fishes,Australia,AUS,2006,1280
1,Freshwater fishes,Australia,AUS,2007,1308
1,Freshwater fishes,Australia,AUS,2008,1359
1,Freshwater fishes,Australia,AUS,2009,1389
1,Freshwater fishes,Australia,AUS,2010,1417
1,Freshwater fishes,Australia,AUS,2011,1121
1,Freshwater fishes,Australia,AUS,2012,1142
1,Freshwater fishes,Australia,AUS,2013,1125
1,Freshwater fishes,Australia,AUS,2014,1235
1,Freshwater fishes,Australia,AUS,2015,1053
1,Freshwater fishes,Australia,AUS,2016,994.84
1,Freshwater fishes,Australia,AUS,2017,1161
1,Freshwater fishes,Belgium,BEL,2000,0
1,Freshwater fishes,Belgium,BEL,2001,0
1,Freshwater fishes,Belgium,BEL,2002,0
1,Freshwater fishes,Belgium,BEL,2003,0
1,Freshwater fishes,Belgium,BEL,2004,0
1,Freshwater fishes,Belgium,BEL,2005,0
1,Freshwater fishes,Belgium,BEL,2006,0
1,Freshwater fishes,Belgium,BEL,2007,0
1,Freshwater fishes,Belgium,BEL,2008,0
1,Freshwater fishes,Belgium,BEL,2009,0
1,Freshwater fishes,Belgium,BEL,2010,0
1,Freshwater fishes,Belgium,BEL,2011,0
1,Freshwater fishes,Belgium,BEL,2012,0
1,Freshwater fishes,Belgium,BEL,2013,0
1,Freshwater fishes,Belgium,BEL,2014,0
1,Freshwater fishes,Belgium,BEL,2015,0
1,Freshwater fishes,Belgium,BEL,2016,0.001
1,Freshwater fishes,Belgium,BEL,2017,0
1,Freshwater fishes,Chinese Taipei,TWN,2000,0
1,Freshwater fishes,Chinese Taipei,TWN,2001,0
1,Freshwater fishes,Chinese Taipei,TWN,2002,0
1,Freshwater fishes,Chinese Taipei,TWN,2003,0
1,Freshwater fishes,Chinese Taipei,TWN,2004,0
1,Freshwater fishes,Chinese Taipei,TWN,2005,0
1,Freshwater fishes,Chinese Taipei,TWN,2006,0
1,Freshwater fishes,Chinese Taipei,TWN,2007,0
1,Freshwater fishes,Chinese Taipei,TWN,2008,0
1,Freshwater fishes,Chinese Taipei,TWN,2009,25.4504
1,Freshwater fishes,Chinese Taipei,TWN,2010,0
1,Freshwater fishes,Chinese Taipei,TWN,2011,0
1,Freshwater fishes,Chinese Taipei,TWN,2012,0.3643
1,Freshwater fishes,Chinese Taipei,TWN,2013,69.0861
1,Freshwater fishes,Chinese Taipei,TWN,2014,3.81576
1,Freshwater fishes,Chinese Taipei,TWN,2015,0.4527
1,Freshwater fishes,Chinese Taipei,TWN,2016,6.9831
1,Freshwater fishes,Chinese Taipei,TWN,2017,0
1,Freshwater fishes,Colombia,COL,2012,75.17030103
1,Freshwater fishes,Colombia,COL,2013,180.211597
1,Freshwater fishes,Colombia,COL,2014,124.0749965
1,Freshwater fishes,Colombia,COL,2015,167.7362263
1,Freshwater fishes,Colombia,COL,2016,124.4843722
1,Freshwater fishes,Colombia,COL,2017,303.246159
1,Freshwater fishes,Denmark,DNK,2000,98
1,Freshwater fishes,Denmark,DNK,2001,74.8
1,Freshwater fishes,Denmark,DNK,2002,95.2
1,Freshwater fishes,Denmark,DNK,2003,96.5
1,Freshwater fishes,Denmark,DNK,2004,70.4
1,Freshwater fishes,Denmark,DNK,2005,52.2
1,Freshwater fishes,Denmark,DNK,2006,64.6
1,Freshwater fishes,Denmark,DNK,2007,86.4
1,Freshwater fishes,Denmark,DNK,2008,45.7
1,Freshwater fishes,Denmark,DNK,2009,45
1,Freshwater fishes,Denmark,DNK,2010,40.1
1,Freshwater fishes,Denmark,DNK,2011,74.1
1,Freshwater fishes,Denmark,DNK,2012,78.4
1,Freshwater fishes,Denmark,DNK,2013,107.8
1,Freshwater fishes,Denmark,DNK,2014,96.7
1,Freshwater fishes,Denmark,DNK,2015,64
1,Freshwater fishes,Denmark,DNK,2016,49.2
1,Freshwater fishes,Denmark,DNK,2017,53.1
1,Freshwater fishes,Estonia,EST,2005,912
1,Freshwater fishes,Estonia,EST,2006,1427.5134
1,Freshwater fishes,Estonia,EST,2007,1126.06498
1,Freshwater fishes,Estonia,EST,2008,1002.9306
1,Freshwater fishes,Estonia,EST,2009,1087.45655
1,Freshwater fishes,Estonia,EST,2010,1192.47613
1,Freshwater fishes,Estonia,EST,2011,1233.48582
1,Freshwater fishes,Estonia,EST,2012,1053.94527
1,Freshwater fishes,Estonia,EST,2013,1692.61788
1,Freshwater fishes,Estonia,EST,2014,2195.07904
1,Freshwater fishes,Estonia,EST,2015,2038.50764
1,Freshwater fishes,Estonia,EST,2016,1966.6311
1,Freshwater fishes,Estonia,EST,2017,1890.252
1,Freshwater fishes,France,FRA,2007,0.5
1,Freshwater fishes,France,FRA,2008,0.4
1,Freshwater fishes,France,FRA,2009,6.3
1,Freshwater fishes,France,FRA,2010,93.6
1,Freshwater fishes,France,FRA,2011,16.3
1,Freshwater fishes,France,FRA,2012,11.4
1,Freshwater fishes,France,FRA,2013,13.5
1,Freshwater fishes,France,FRA,2014,10.8
1,Freshwater fishes,France,FRA,2015,8.5
1,Freshwater fishes,France,FRA,2016,11.9
1,Freshwater fishes,France,FRA,2017,8.2
1,Freshwater fishes,Germany,DEU,2016,1511.337
1,Freshwater fishes,Germany,DEU,2017,1503.183
1,Freshwater fishes,Latvia,LVA,2004,159
1,Freshwater fishes,Latvia,LVA,2005,198
1,Freshwater fishes,Latvia,LVA,2006,183
1,Freshwater fishes,Latvia,LVA,2007,225
1,Freshwater fishes,Latvia,LVA,2008,136
1,Freshwater fishes,Latvia,LVA,2009,143
1,Freshwater fishes,Latvia,LVA,2010,167
1,Freshwater fishes,Latvia,LVA,2011,139
1,Freshwater fishes,Latvia,LVA,2012,141
1,Freshwater fishes,Latvia,LVA,2013,149
1,Freshwater fishes,Latvia,LVA,2014,236
1,Freshwater fishes,Latvia,LVA,2015,277
1,Freshwater fishes,Latvia,LVA,2016,684
1,Freshwater fishes,Latvia,LVA,2017,1128.08
1,Freshwater fishes,Lithuania,LTU,2005,0.05
1,Freshwater fishes,Lithuania,LTU,2006,5.117
1,Freshwater fishes,Lithuania,LTU,2007,13.965
1,Freshwater fishes,Lithuania,LTU,2008,6.79
1,Freshwater fishes,Lithuania,LTU,2009,10.413
1,Freshwater fishes,Lithuania,LTU,2010,7.528
1,Freshwater fishes,Lithuania,LTU,2011,8.11
1,Freshwater fishes,Lithuania,LTU,2012,8.642
1,Freshwater fishes,Lithuania,LTU,2013,6.131
1,Freshwater fishes,Lithuania,LTU,2014,1.269
1,Freshwater fishes,Lithuania,LTU,2015,1.339
1,Freshwater fishes,Lithuania,LTU,2016,0.568
1,Freshwater fishes,Lithuania,LTU,2017,8.783
1,Freshwater fishes,Mexico,MEX,2005,77088.13
1,Freshwater fishes,Mexico,MEX,2006,76381.29012
1,Freshwater fishes,Mexico,MEX,2007,83749.01605
1,Freshwater fishes,Mexico,MEX,2008,75611.5599
1,Freshwater fishes,Mexico,MEX,2009,75110.0548
1,Freshwater fishes,Mexico,MEX,2010,77748.61859
1,Freshwater fishes,Mexico,MEX,2011,63009.69373
1,Freshwater fishes,Mexico,MEX,2012,56551.5851
1,Freshwater fishes,Mexico,MEX,2013,83715.14623
1,Freshwater fishes,Mexico,MEX,2014,94128.49789
1,Freshwater fishes,Mexico,MEX,2015,107701.7411
1,Freshwater fishes,Mexico,MEX,2016,153716.3744
1,Freshwater fishes,Mexico,MEX,2017,132685.4012
1,Freshwater fishes,Netherlands,NLD,2008,1.247
1,Freshwater fishes,Netherlands,NLD,2009,3.287
1,Freshwater fishes,Netherlands,NLD,2010,8.61
1,Freshwater fishes,Netherlands,NLD,2011,311.03
1,Freshwater fishes,Netherlands,NLD,2012,9.267
1,Freshwater fishes,Netherlands,NLD,2013,22.051
1,Freshwater fishes,Netherlands,NLD,2014,2.329
1,Freshwater fishes,Netherlands,NLD,2015,7.131
1,Freshwater fishes,Netherlands,NLD,2016,6.498
1,Freshwater fishes,Netherlands,NLD,2017,34.838
1,Freshwater fishes,Norway,NOR,2000,2.3565
1,Freshwater fishes,Norway,NOR,2001,2.0825
1,Freshwater fishes,Norway,NOR,2002,2.1045
1,Freshwater fishes,Norway,NOR,2003,1.6305
1,Freshwater fishes,Norway,NOR,2004,5.1
1,Freshwater fishes,Norway,NOR,2005,6.8562
1,Freshwater fishes,Norway,NOR,2006,0.7778
1,Freshwater fishes,Norway,NOR,2007,0.005
1,Freshwater fishes,Norway,NOR,2008,0.7714
1,Freshwater fishes,Norway,NOR,2009,0.0722
1,Freshwater fishes,Norway,NOR,2010,0.0442
1,Freshwater fishes,Norway,NOR,2011,0.7098
1,Freshwater fishes,Norway,NOR,2012,0.0064
1,Freshwater fishes,Norway,NOR,2013,0.0814
1,Freshwater fishes,Norway,NOR,2014,0.069
1,Freshwater fishes,Norway,NOR,2015,0.039
1,Freshwater fishes,Norway,NOR,2016,0.0065
1,Freshwater fishes,Norway,NOR,2017,0.1695
1,Freshwater fishes,Peru,PER,2000,34070.89622
1,Freshwater fishes,Peru,PER,2001,73204.79285
1,Freshwater fishes,Peru,PER,2002,17786.56187
1,Freshwater fishes,Peru,PER,2003,4824.274904
1,Freshwater fishes,Peru,PER,2004,13278.06646
1,Freshwater fishes,Peru,PER,2005,9149.644753
1,Freshwater fishes,Peru,PER,2006,4065.398986
1,Freshwater fishes,Peru,PER,2007,6966.147135
1,Freshwater fishes,Peru,PER,2008,4447.723083
1,Freshwater fishes,Peru,PER,2009,8722.330097
1,Freshwater fishes,Peru,PER,2010,4838.035775
1,Freshwater fishes,Peru,PER,2011,10219.92194
1,Freshwater fishes,Peru,PER,2012,7728.85468
