Country,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Australia,181670,172449,173553,165163,159302,157284,153504,152433,174247,166021
Canada,937112,960232,951529,858343,803441,838482,849597,837746,848165,0
Chile,3939377,3821714,3048322,3466963,3008910,2288872,2592811,2098360,0,0
Denmark,694861,778917,827981,716358,502658,669601,745016,861846,662284,897079
France,285861,214213,254876,367668,365171,374288,342659,291305,401496,381781
Iceland,1308007,1162094,1093034,0,1336196,1356944,1078356,1313213,1078568,1158376
Italy,237455,250793,226509,214415,197727,172624,176778,195674,192356,191916
Japan,4373337,4147377,4122104,3824096,3746760,3715471,3713241,3492429,3263616,3257700
Korea,1271025,1216123,1119498,1220702,1080908,1036131,1054858,1056575,903665,963522
Mexico,1397638,1414226,1318828,1340382,1348582,1456107,1419794,1367753,1400409,1454298
Netherlands,415987,355788,386750,351757,343712,345085,382352,330464,366795,442445
New Zealand,437064,430745,427421,427666,434657,434190,432682,435553,418618,418804
Norway,2375138,2483120,2549381,2149952,2009564,1931100,2124840,2160172,1905277,2239065
Portugal,201822,174716,217337,233988,208705,207109,173238,183336,187590,175325
Spain,891294,703945,755465,712677,732944,868278,1079019,838977,799599,851353
Sweden,222776,200837,205310,177999,150383,178237,172346,202880,198002,221769
Turkey,453113,425046,445680,477658,396322,339047,266078,397731,301582,322173
UK,587465,584207,608846,602780,634882,628302,758950,708998,699975,722709
USA,4514685,4371391,4458400,5287431,5150644,5227720,5119701,5203558,5089398,4946267
Argentina,934335,771932,763656,733130,691984,822066,791152,767649,694972,779215
China,12580000,12760000,13150000,13570000,13900000,13990000,14840000,15340000,0,0
Indonesia,4701933,4812235,5039446,5345729,5435633,5707013,6037654,6204668,0,0
Peru,7362910,6874386,4220704,8210565,4799705,5946326,3526860,4834949,3825720,0
Chinese Taipei,1009448,802531,854086,893802,908082,925301,1068375,985586,748470,741762
Thailand,1644832,1663846,1601320,1610418,1500200,1614536,1488280,0,0,0
