Species_Code,Species,Country,Country_Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
1,Freshwater fishes,Australia,AUS,0,1151.926,1371.09,1520.46,1523.91,1496,1280,1308,1359,1389,1417,1121,1142,1125,1235,1053,994.84,1161
1,Freshwater fishes,Belgium,BEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0
1,Freshwater fishes,Chinese Taipei,TWN,0,0,0,0,0,0,0,0,0,25.4504,0,0,0.3643,69.0861,3.81576,0.4527,6.9831,0
1,Freshwater fishes,Colombia,COL,0,0,0,0,0,0,0,0,0,0,0,0,75.17030103,180.211597,124.0749965,167.7362263,124.4843722,303.246159
1,Freshwater fishes,Denmark,DNK,98,74.8,95.2,96.5,70.4,52.2,64.6,86.4,45.7,45,40.1,74.1,78.4,107.8,96.7,64,49.2,53.1
1,Freshwater fishes,Estonia,EST,0,0,0,0,0,912,1427.5134,1126.06498,1002.9306,1087.45655,1192.47613,1233.48582,1053.94527,1692.61788,2195.07904,2038.50764,1966.6311,1890.252
1,Freshwater fishes,France,FRA,0,0,0,0,0,0,0,0.5,0.4,6.3,93.6,16.3,11.4,13.5,10.8,8.5,11.9,8.2
1,Freshwater fishes,Germany,DEU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1511.337,1503.183
1,Freshwater fishes,Latvia,LVA,0,0,0,0,159,198,183,225,136,143,167,139,141,149,236,277,684,1128.08
1,Freshwater fishes,Lithuania,LTU,0,0,0,0,0,0.05,5.117,13.965,6.79,10.413,7.528,8.11,8.642,6.131,1.269,1.339,0.568,8.783
1,Freshwater fishes,Mexico,MEX,0,0,0,0,0,77088.13,76381.29012,83749.01605,75611.5599,75110.0548,77748.61859,63009.69373,56551.5851,83715.14623,94128.49789,107701.7411,153716.3744,132685.4012
1,Freshwater fishes,Netherlands,NLD,0,0,0,0,0,0,0,0,1.247,3.287,8.61,311.03,9.267,22.051,2.329,7.131,6.498,34.838
1,Freshwater fishes,Norway,NOR,2.3565,2.0825,2.1045,1.6305,5.1,6.8562,0.7778,0.005,0.7714,0.0722,0.0442,0.7098,0.0064,0.0814,0.069,0.039,0.0065,0.1695
1,Freshwater fishes,Peru,PER,34070.89622,73204.79285,17786.56187,4824.274904,13278.06646,9149.644753,4065.398986,6966.147135,4447.723083,8722.330097,4838.035775,10219.92194,7728.85468,51060.59529,14448.7949,5120.699766,7985.916651,0
1,Freshwater fishes,Poland,POL,0,0,0,0,1062.9613,3034.4257,2651.0899,2996.2627,2539.3202,2592.8519,2337.2815,2343.4896,2612.00675,3147.5415,3098.8688,2964.89665,3203.65585,2675.73346
1,Freshwater fishes,Slovenia,SVN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6248
1,Freshwater fishes,Spain,ESP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0
1,Freshwater fishes,Sweden,SWE,219.5827,201.7635,195.6755,200.1301,189.8599,204.7753,202.1139,200.9659,158.3866,139.0595,116.0114,133.7861,143.2027,156.0875,177.8104,197.5897,185.3803,149.152
1,Freshwater fishes,United States,USA,12524,12884,12292,11966,13114,8137,8299,8483,8543,7914,8392,8721,9182,8954,9619,10776,10648,6001
2,Diadromous fishes,Australia,AUS,0,2157.406,2568.55,1694.98,1749.67,1526.9,1577.228,1468.19,1621.87,1745.347,1658.15,2070.84786,2260.63,1595.52,1235.87,1074.05,1029.17,1210.02
2,Diadromous fishes,Belgium,BEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076,0.075,0.136,0.092,0.15
2,Diadromous fishes,Canada,CAN,26521.54705,30970.44362,40605.69746,45405.53456,30911.80893,31224.71056,30028.4571,24891.4485,10121.8865,22955.0175,27232.632,23646.774,11569.52,19724.86,37470.18469,22619.97729,25885.70003,0
2,Diadromous fishes,Chinese Taipei,TWN,49.56,155.505,104.554,141.086,77.842,91.1094,89.812,59.3755,63.639,83.9584,105.007,79.0571,98.87098,73.7322,24.59872,31.54123,41.15462,27.03804
2,Diadromous fishes,Colombia,COL,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020172947,1.038220032,0.117231344,0.216,0.011072548
